ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-31,126.7200490300598,226.29201657273538,235.28655099428255,126.7200490300598,126.7200490300598,103.69776084097181,103.69776084097181,103.69776084097181,103.69776084097181,103.69776084097181,103.69776084097181,0.0,0.0,0.0,230.4178098710316
2025-02-03,129.0653987379913,224.66533814696592,233.78541828998658,129.0653987379913,129.0653987379913,100.27820485000069,100.27820485000069,100.27820485000069,100.27820485000069,100.27820485000069,100.27820485000069,0.0,0.0,0.0,229.343603587992
2025-02-04,129.84718197691896,227.22962853808278,235.9393862435937,129.84718197691896,129.84718197691896,101.48361995689528,101.48361995689528,101.48361995689528,101.48361995689528,101.48361995689528,101.48361995689528,0.0,0.0,0.0,231.33080193381426
2025-02-05,130.62896521600578,226.99734871545445,235.9285657125585,130.62896521600578,130.62896521600578,100.77320655874149,100.77320655874149,100.77320655874149,100.77320655874149,100.77320655874149,100.77320655874149,0.0,0.0,0.0,231.40217177474727
2025-02-06,131.410748458639,227.54661020797857,236.7795408656119,131.410748458639,131.410748458639,100.64951578617514,100.64951578617514,100.64951578617514,100.64951578617514,100.64951578617514,100.64951578617514,0.0,0.0,0.0,232.06026424481416
2025-02-07,132.19257985623915,231.34768182532315,240.13838286983392,132.19257985623915,132.19257985623915,103.6977608409784,103.6977608409784,103.6977608409784,103.6977608409784,103.6977608409784,103.6977608409784,0.0,0.0,0.0,235.89034069721754
2025-02-10,134.54755979467373,230.2702108136724,238.99689746115158,134.54755979467373,134.54755979467373,100.27820485025109,100.27820485025109,100.27820485025109,100.27820485025109,100.27820485025109,100.27820485025109,0.0,0.0,0.0,234.82576464492482
2025-02-11,135.33415628644153,232.64177360222862,241.23789510995502,135.33415628644153,135.33415628644153,101.48361995664395,101.48361995664395,101.48361995664395,101.48361995664395,101.48361995664395,101.48361995664395,0.0,0.0,0.0,236.81777624308546
2025-02-12,136.12075277775023,232.62156299196448,241.1549859087844,136.12075277775023,136.12075277775023,100.77320655874256,100.77320655874256,100.77320655874256,100.77320655874256,100.77320655874256,100.77320655874256,0.0,0.0,0.0,236.8939593364928
2025-02-13,136.90734927076016,233.20236826459302,242.3403598843611,136.90734927076016,136.90734927076016,100.64951578613874,100.64951578613874,100.64951578613874,100.64951578613874,100.64951578613874,100.64951578613874,0.0,0.0,0.0,237.5568650568989
2025-02-14,137.69394576244326,236.87948974441022,245.95815312466033,137.69394576244326,137.69394576244326,103.69776084073116,103.69776084073116,103.69776084073116,103.69776084073116,103.69776084073116,103.69776084073116,0.0,0.0,0.0,241.39170660317444
2025-02-18,140.84033171219255,237.78348061705628,246.30805756065487,140.84033171219255,140.84033171219255,101.48361995669012,101.48361995669012,101.48361995669012,101.48361995669012,101.48361995669012,101.48361995669012,0.0,0.0,0.0,242.32395166888267
2025-02-19,141.62417701757857,237.82498681046778,247.03096478359907,141.62417701757857,141.62417701757857,100.77320655873733,100.77320655873733,100.77320655873733,100.77320655873733,100.77320655873733,100.77320655873733,0.0,0.0,0.0,242.39738357631592
2025-02-20,142.40452792292834,238.63368889666876,247.7684133028039,142.40452792292834,142.40452792292834,100.6495157863772,100.6495157863772,100.6495157863772,100.6495157863772,100.6495157863772,100.6495157863772,0.0,0.0,0.0,243.05404370930552
2025-02-21,143.18033498863244,242.36727560112922,251.02177298832098,143.18033498863244,143.18033498863244,103.69776084127346,103.69776084127346,103.69776084127346,103.69776084127346,103.69776084127346,103.69776084127346,0.0,0.0,0.0,246.8780958299059
2025-02-24,143.81192472885687,239.84361098311388,248.61731310500622,143.81192472885687,143.81192472885687,100.2782048504901,100.2782048504901,100.2782048504901,100.2782048504901,100.2782048504901,100.2782048504901,0.0,0.0,0.0,244.09012957934698
2025-02-25,142.82198397927937,239.8496984953452,248.52250877962953,142.82198397927937,142.82198397927937,101.4836199565875,101.4836199565875,101.4836199565875,101.4836199565875,101.4836199565875,101.4836199565875,0.0,0.0,0.0,244.30560393586688
2025-02-26,141.8315604392382,237.7886797520409,246.74717935921618,141.8315604392382,141.8315604392382,100.77320655873208,100.77320655873208,100.77320655873208,100.77320655873208,100.77320655873208,100.77320655873208,0.0,0.0,0.0,242.60476699797027
2025-02-27,140.8398827372328,237.16345461173776,245.76053360927898,140.8398827372328,140.8398827372328,100.64951578595667,100.64951578595667,100.64951578595667,100.64951578595667,100.64951578595667,100.64951578595667,0.0,0.0,0.0,241.4893985231895
2025-02-28,139.8481853921889,239.01373628059312,248.02840325310655,139.8481853921889,139.8481853921889,103.6977608410262,103.6977608410262,103.6977608410262,103.6977608410262,103.6977608410262,103.6977608410262,0.0,0.0,0.0,243.5459462332151
2025-03-03,136.87309332349636,232.60828795652256,241.46976717757414,136.87309332349636,136.87309332349636,100.27820484995144,100.27820484995144,100.27820484995144,100.27820484995144,100.27820484995144,100.27820484995144,0.0,0.0,0.0,237.1512981734478
2025-03-04,135.87851575782773,232.52061106829836,241.81271907704397,135.87851575782773,135.87851575782773,101.48361995686344,101.48361995686344,101.48361995686344,101.48361995686344,101.48361995686344,101.48361995686344,0.0,0.0,0.0,237.36213571469116
2025-03-05,134.87988335165892,231.47133884907248,239.98872917768676,134.87988335165892,134.87988335165892,100.77320655873945,100.77320655873945,100.77320655873945,100.77320655873945,100.77320655873945,100.77320655873945,0.0,0.0,0.0,235.65308991039836
2025-03-06,132.37625894164927,228.4721503127386,237.8007326587838,132.37625894164927,132.37625894164927,100.6495157860577,100.6495157860577,100.6495157860577,100.6495157860577,100.6495157860577,100.6495157860577,0.0,0.0,0.0,233.02577472770696
2025-03-07,129.86509509862,228.90572375132496,237.8807627804709,129.86509509862,129.86509509862,103.69776084103285,103.69776084103285,103.69776084103285,103.69776084103285,103.69776084103285,103.69776084103285,0.0,0.0,0.0,233.56285593965285
2025-03-10,122.33160356953238,218.19746676597399,227.35109361090548,122.33160356953238,122.33160356953238,100.27820484994005,100.27820484994005,100.27820484994005,100.27820484994005,100.27820484994005,100.27820484994005,0.0,0.0,0.0,222.60980841947242
2025-03-11,119.82043972650314,216.8384101209397,226.17387369520148,119.82043972650314,119.82043972650314,101.48361995676085,101.48361995676085,101.48361995676085,101.48361995676085,101.48361995676085,101.48361995676085,0.0,0.0,0.0,221.30405968326397
