Datetime,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2025-01-31,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100
2025-02-03,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300
2025-02-04,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300
2025-02-05,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300
2025-02-06,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300
2025-02-07,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200
2025-02-10,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600
2025-02-11,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400
2025-02-12,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300
2025-02-13,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100
2025-02-14,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200
2025-02-18,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500
2025-02-19,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200
2025-02-20,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900
2025-02-21,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400
2025-02-24,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400
2025-02-25,248.0,250.0,244.91000366210938,247.0399932861328,48013300
2025-02-26,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600
2025-02-27,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600
2025-02-28,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400
2025-03-03,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000
2025-03-04,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100
2025-03-05,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600
2025-03-06,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400
2025-03-07,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,46273600
2025-03-10,235.5399932861328,236.16000366210938,224.22000122070312,227.47999572753906,72071200
2025-03-11,223.80999755859375,225.83999633789062,217.4499969482422,220.83999633789062,76137400
2025-03-12,220.13999938964844,221.75,214.91000366210938,216.97999572753906,62547500
2025-03-13,215.9499969482422,216.83999633789062,208.4199981689453,209.67999267578125,61368300
2025-03-14,211.25,213.9499969482422,209.5800018310547,213.49000549316406,60060200
